Personne,Caractère,Philosophie,La personne qui t'inspire le plus
Stö,"Ben c'est difficile de s'auto-analyser, mais je dirais je suis sympa. Bon, je suis plutôt calme, peut être des fois un peu réservé, mais. Si le groupe me convient, je peux aussi tchatcher. Alors je suis calme et ouverte d'esprit","Ouais, assez difficile, mais un peu l'aspect vivre et laisser vivre quoi.","Hum. Si c'est des personnes fictives, c'est peut être une personne de Les des Simpson. Homer Simpson Oui. Je pense. Il est quand même un idole d'autre personnage fictif, c'est MacGyver. Parce que lui, il a toujours la solution. C'est aussi pas mal si c'est des personnes du vraie vie. C'est peut être quelqu'un comme Tom Savage, on le connait encore de l'aimer. À l'époque, c'est celui aux cheveux rouges, quoi. Et c'est juste un bricoleur très très talentueux quoi. Sinon, il y a encore d'autres, mais ça va trop loin.
"
Frank,"Question difficile. Je pense que je suis franc. Je passe pas par quatre chemins pour dire les trucs. Curieux aussi. Ouais, à fond. Et. Patient. Posé en quelque sorte."," Hum. Ah, c'est. C'est assez compliqué. Mais. Philosophie? Hum. J'en ai pas comme ça qui est en tête. J'ai une phrase que j'avais dit une fois à un ami qui stressait pour faire une présentation et je lui ai dit écoute moi, le jour où j'ai arrêté de stresser, c'est quand je me suis dit, quand je me suis rendu compte que je parlais à des gens. Avant, j'avais peur de parler à des gens. Quand je me suis rendu compte que je parlais à des gens, ça va parce que ça va. En fait, c'est pas raison d'avoir peur de ça."," Hans Zimmer. Parce que c'est un très, très grand musicien compositeur. Il a une collection ahurissante de synthés et vraiment quelque chose de fou furieux. Et il a une passion telle que c'est regarder des documentaires de lui ou quoi, C'est vraiment passionnant. C'est. Il a une telle passion que pour je sais plus pour quel film c'était, mais il allait. Vraiment, Il a traversé toute l'Europe pour trouver pile le bon orgue qu'il lui fallait. Il avait un son en tête, puis il l'a cherché pendant un, deux ans précisément. Voilà."
Muga,"Alors c'est très difficile de le dire, mais je pense que je suis calme et résilient.","D'essayer de faire le mieux possible et puis d'être bien, d'être réfléchi et indulgent quoi. Il y a toujours plusieurs versions, donc il ne faut jamais aller tête baissée.","Alors ça va être très bizarre comme réponse, mais la personne qui m'inspire le plus, c'est moi, mais pas moi directement. Mais moi, par rapport à tous les films que je me fais sur les autres, tu vois ce que je veux dire? Ça veut dire que en fait, je vais tellement chercher loin et faire des scénarios et calculer que ça me donne des nouvelles références sur des personnes, mais c'est des choses que j'ai projetées. Donc en fait c'est ma vision. Mais moi je me réfère sur ce que j'imaginais pas. Je pense que c'est vrai, tu vois. Ok, donc donc c'est les autres mais mais par rapport à mes projections. Donc finalement c'est moi qui invente quoi."
Joël,Excellent. Je sais pas quoi dire. Attends. Mon caractère? Comment tu veux définir ton caractère? Euh. Je n'ai aucune idée. Putain. On m'a jamais posé cette question.  On va dire que je suis une force tranquille. ,"Vivre et laisser mourir. C'est nul à chier. C'est un titre de James Bond. Mais. Philosophie de vie? Ouais. Enfin, j'essaie de faire attention aux autres. C'est pas très bien. J'essaie d'être empathique.","Jésus? Non mais ça va pas... Mais sinon. Inspirant Je sais pas, je trouve pas que c'est. Je sais pas, j'ai pas vraiment de. De préférence. Ouais, j'ai peut être piqué des choses chez des gens un peu un peu partout, mais j'ai pas quelqu'un que je mets sur un piédestal. Mon papa? Je sais pas. Ouais, ok. Parce qu'il m'a élevé? Non mais ouais. J'essaie de réfléchir à d'autres questions. Oui, mon papa, parce qu'il m'a élevé."
Anaïs,"Bien, je dirais que je suis à l'écoute et je suis à l'écoute. Et sinon? Je ne me laisse pas non plus marcher dessus. Enfin, du moins, j'essaie. Mais ouais, à l'écoute, je me laisse pas marcher dessus.",Profiter à fond de la vie et faire ce que tu as envie sur le moment et pas trop se poser de questions et on ne sait jamais de quoi demain est fait.,"Là quelqu'un qui me vient, mais c'est plus par son parcours, ça serait Théo Curin. Mais c'est juste là ce qui me vient par rapport à c'est un un sportif qui est... Je sais pas comment tu dis les gens qui ont ni leurs bras ni leurs... Il a plus ses bras plus ses jambes et il est sportif à haut niveau. Et puis franchement, je crois qu'il a eu une méningite quand il était petit et puis maintenant il est super fort et puis même il fait plein de conférences et tout là-dessus. Et puis ouais, je trouve c'est aussi une belle philosophie de vie que tu peux tirer, parce que même quand il t'arrive des trucs pas faciles, tu peux toujours te relever. Et ouais, je dirais ça"
Raph,"Je suis, je pense, quelqu'un de gentil, à l'écoute. Parfois un petit peu sanguin, mais. J'aime pas l'injustice et du coup je peux monter un petit peu au créneau. Je suis pas virulent, mais s'il faut être intransigeant, je serai intransigeant.","Regarder devant. Regarder loin et voir le verre à moitié plein. Je pense que c'est une jolie phrase. Et puis aussi, j'aime bien la philosophie de dire Je ne sais pas où je vais, mais je sais que je ne vais pas par là.","Michael Jordan. Ouais, j'aime bien. C'est l'époque que j'ai dans laquelle j'ai grandi. C'était une figure emblématique à ce moment là. On adorait le basket et tout ça. Mais je voulais pas répondre aussi un truc cliché, genre mon père, tout ça. Donc. Ouais, je trouve que Michael Jordan ça représente aussi quelque chose dans ma vie. C'est pour ça que ça m'a marqué. Et puis sinon, les cartes Magic."
Adèle,"Je suis gentille. Je suis très très très à l'écoute des gens. Mais j'aime pas me faire marcher dessus. J'ai des fois des insécurités et si quelqu'un prend trop de place à côté de moi, je vais m'effacer. Mais voilà, de manière générale, je suis cool. Juste, je déteste l'injustice aussi.",Tout est juste. Ce qui doit arriver arrivera. Donc il faut lâcher les choses qui semblent ne pas aller dans notre sens. Faut les lâcher. C'est juste que c'est pas pour nous et qu'il y a mieux après. Trust the process.,"J'ai eu une intervenante dans un de mes cours qui m'a beaucoup inspirée. C'est une femme qui s'est qui s'est vouée au leadership féminin. Et je pense que c'est un vrai truc. C'est quelqu'un qui, quand elle parle, on l'écoute et qui apporte les enjeux actuels sans juger. Et c'était très intéressant. Et si je dois dire, quelqu'un qui m'inspire professionnellement, je pense que c'est elle. Non, elle n'est pas connue. "
Thomas, Il est comme il est. Je sais pas. C'est. Il est. Je sais pas. Curieux. , Ben profiter.,"J'ai pas d'inspiration. Je sais pas, Je suis pas trop people."
Pete,"Euh. Plutôt émotionnel. J'ai la tête qui tourne vraiment tout le temps, tout le temps. Je pense que en fait, j'ai un trouble de l'attention comme ma fille l'a détecté. Donc ça me permet par contre aussi de capter beaucoup de choses et d'assimiler beaucoup d'informations. Je suis quand même quelqu'un qui aime communiquer, qui essaie d'éviter un maximum de conflits. Et puis bon, je pense que c'est quand même un peu. J'aime bien déconner, je suis assez drôle. Qu'est ce que je pourrais dire encore? Voilà, en gros, en gros, comme ça. Mais après ça c'est moi qui le dit peut être les autres disent autre chose donc voilà quoi.","Je dirais prendre jour un jour après l'autre. Hum. J'aime pas trop me projeter trop dans le futur. Sans quand même oublier que j'aime quand même bien réussir. Donc je suis quelqu'un qui aime quand même un peu regarder le futur, mais essayer de vivre quand même au quotidien. Sinon, je suis quelqu'un qui mettra toujours la famille en premier, Toujours. Hum voilà, c'est difficile, pas autre chose à dire.","Oui, alors oui, ça c'est assez clair. Donc c'est une personne avec laquelle j'ai. C'était mon chef pendant plusieurs années. C'est Nicolas Hayek Senior. C'est l'homme qui a sauvé l'industrie horlogère suisse qui a qui A qui a fondé Swatch, qui a fondé le Swatch Group. C'est quelqu'un au delà du fait que c'est peut être peut être le personnage des derniers 50 ans en Suisse économique le plus prophétique. J'ai bien aimé ce personnage. C'est quelqu'un qui était un peu comme un deuxième père pour moi. J'ai eu la chance de le côtoyer de très très proche. Voilà, c'est une personne qui m'a beaucoup inspiré. C'est d'ailleurs c'était plus ou moins mon dernier chef et c'est un entrepreneur. Et c'est suite à ma période de Swatch Group que j'ai moi-même fait une boîte. Donc ça c'est certainement un peu grâce à sa philosophie aussi quoi."
Michèle,"Hm, ich bin sehr impulsiv. Ich bin innerhalb von 10 Sekunden auf 180 und habe mich aber genau so schnell wieder beruhigt. Und ich bin emotional, ich kann kann mich gut in andere Menschen hineinversetzen und zeige offen meine Gefühle. Egal ob Freude oder Trauer.  ","Ich denke, am ehesten beschreibt mich das: Step by step. Ich habe gelernt, im Moment zu leben und die Dinge so zu sehen, wie sie aktuell sind. Wenn ich zu stark alles auf einmal anschaue und zu stark versuche, alles bis ins kleinste Detail zu planen, fliegt mir alles um die Ohren und das löst Stress aus in mir. Denn gerade mit Kindern kommen die Dinge nur selten so, wie geplant. ","Ich denke, meine Mutter hat mich am stärksten inspiriert. Sie hat mich bei vielen Dingen zu der Mutter gemacht, die ich selber bin. Sie war immer wie ein Felsen in der Brandung und genau das will ich für meine Kinder auch sein. Sie hat mir vorgelebt, was es heisst, immer weiterzumachen und dank ihr habe ich gelernt, dass man sein Leben selber in die Hand nehmen kann und sich nicht durch die Vergangenheit definieren lassen muss. "
